Time,Potentiometer,Distance
07/27/2021_20:38:26.331,356.73,172.53
07/27/2021_20:38:26.442,356.73,169.91
07/27/2021_20:38:26.553,356.73,170.33
07/27/2021_20:38:26.664,356.73,159.29
07/27/2021_20:38:26.775,356.73,170.81
07/27/2021_20:38:26.805,356.73,170.81
07/27/2021_20:38:26.886,356.73,169.92
07/27/2021_20:38:26.997,356.73,154.63
07/27/2021_20:38:27.108,356.73,172.62
07/27/2021_20:38:27.219,356.73,156.45
07/27/2021_20:38:27.306,356.73,156.45
07/27/2021_20:38:27.330,356.73,170.82
07/27/2021_20:38:27.443,356.73,169.97
07/27/2021_20:38:27.554,356.73,170.82
07/27/2021_20:38:27.666,356.73,173.99
07/27/2021_20:38:27.776,356.73,155.05
07/27/2021_20:38:27.807,356.73,155.05
07/27/2021_20:38:27.887,356.73,170.83
07/27/2021_20:38:27.999,356.73,170.03
07/27/2021_20:38:28.110,356.73,170.37
07/27/2021_20:38:28.222,356.73,171.22
07/27/2021_20:38:28.308,357.82,171.22
07/27/2021_20:38:28.333,357.82,154.37
07/27/2021_20:38:28.444,357.82,169.88
07/27/2021_20:38:28.554,357.82,157.5
07/27/2021_20:38:28.666,357.82,170.81
07/27/2021_20:38:28.777,357.82,170.8
07/27/2021_20:38:28.809,356.73,170.8
07/27/2021_20:38:28.887,356.73,155.29
07/27/2021_20:38:28.999,356.73,172.56
07/27/2021_20:38:29.109,356.73,155.55
07/27/2021_20:38:29.220,356.73,171.23
07/27/2021_20:38:29.310,356.73,171.23
07/27/2021_20:38:29.332,356.73,174.39
07/27/2021_20:38:29.443,356.73,169.89
07/27/2021_20:38:29.554,356.73,172.11
07/27/2021_20:38:29.664,356.73,155.2
07/27/2021_20:38:29.776,356.73,170.38
07/27/2021_20:38:29.812,357.82,170.38
07/27/2021_20:38:29.886,357.82,159.12
07/27/2021_20:38:29.997,357.82,170.81
07/27/2021_20:38:30.109,357.82,170.35
07/27/2021_20:38:30.220,357.82,170.8
